d1c4oa1;35;28.6;12.5;45.8;50;0;30.8;43.5;16.7;31.2;53.8;48.3;37.5;100;33.3;33.3;43.8;53.8;100;40;55.2;14.3;33.3;28.6;26.7;20
d1p9ra_;29.4;50;47.6;40;25;16.7;33.3;33.3;51.3;0;30;41.2;33.3;48.6;44.4;51.1;26.7;56.2;40;14.3;30;54.7;41.4;47.6;27.3;51.6
d1tq4a_;41.7;44.4;51.1;33.3;37.5;23.1;30;100;28.6;31.6;16.7;0;27.8;20;100;0;22.2;43.8;100;30;100;46.9;22.2;40;38.5;14.3
d1w36b2;25;0;100;11.1;100;20;31.2;27.3;14.3;54.9;50;40.7;11.1;11.1;22.2;47.3;30.8;52.2;35.7;51.6;32;100;25;28.6;48;100
d1qvra2;30;48.6;44.4;100;33.3;37.5;50;35.3;12.5;33.3;25;39.1;53.5;100;100;49.2;51;0;100;15.4;42.4;25;30;33.3;47.1;50
g1ii8.1;39.1;48.6;0;11.1;0;21.4;37.5;33.3;62.3;11.1;16.7;48.8;33.3;25;39.1;29.5;22.2;18.2;29.4;46.3;100;100;28.6;0;50;9.1
d2ncda_;35.7;51.2;35.7;100;36.4;100;46.2;37.5;38.9;33.3;100;42.9;40.1;60;30.8;42.9;25;0;27.3;33.3;0;50;40.9;100;100;12.5
d1sdma_;0;31.8;0;38.5;50;40;20;38.9;14.3;38.7;16.7;20;40.9;52.6;60.6;51.2;41.2;12.5;27.3;33.3;42.1;27.3;100;100;61;17.7
d1um8a_;28.6;11.1;34.8;33.3;20;45.3;18.2;41.2;29.4;8.3;47.4;27.3;25;25;46.2;42.1;52.6;45.4;100;40;33.3;27.3;55.6;33.3;33.3;25
d1svma_;46.3;40.9;50;23.1;100;23.1;30;46.7;33.3;30;0;100;100;100;35.7;12.5;100;55.8;50;100;16.7;16.7;40;100;50;33.3
d1v8ka_;50;33.3;48.4;40;58.1;31.2;33.3;38.5;60.5;12.5;100;16.7;51.4;100;100;100;100;27.3;30;44.4;25;33.3;36.4;53.2;50;30.8
d1w36d1;44.8;100;0;14.3;27.3;27.3;100;100;40;46.5;33.3;41.7;100;47.6;33.3;30;40;12.5;42.9;40.7;0;33.3;100;33.3;38.5;20
d1goja_;26.7;25;23.1;43.8;50;12.5;43.8;100;30;58.8;100;100;46.5;0;100;30.8;100;0;27.3;41.7;38.5;45;40;100;45.4;50
