d1gp1a_;100;45.4;25;37.5;36.4;45;61.9;0;50;31.2;47.4;51.8;14.3;100;25;100;100;55.6;61.4;47.6;16.7;11.1;100;100;100;67.6;100;33.3;100;27.3;100;100;43.8;53.8;100;42.9;100;52.6
d2f8aa1;25;45.4;14.3;14.3;40;27.3;26.7;6;11.1;23.1;46.7;100;14.3;60.5;25;100;100;100;60;42.9;16.7;11.1;46.3;100;100;64.7;100;60;100;28.6;50;100;50;58.8;100;55.2;100;100
d1beda_;40;100;60.6;27.3;16.7;16.7;54;50;0;16.7;46.4;54.3;16.7;100;55.1;45.4;100;60;100;25;55.2;38.5;61;22.2;100;42.9;33.3;100;33.3;40;55;100;100;100;100;100;44.4;33.3
d1xiya1;55.8;14.3;33.3;100;51.8;53.3;58.2;100;52.9;100;44.4;100;56.2;47.8;55.4;100;46.2;50.3;100;45.4;55.9;30;66.7;40.7;100;31.2;37.5;100;100;37.5;100;0;16.7;25;0;100;100;25
d2fug21;12.5;0;52.6;41.7;0;100;25;100;48.5;12.5;55.6;33.3;22.2;46.7;65.3;43.8;100;33.3;100;100;100;28.6;20;100;100;100;37.5;33.3;44.4;100;36.4;12.5;43.5;100;61.1;100;63.8;100
d1jfua_;28.6;44.4;46.7;100;25;100;100;41.7;100;53;100;28.6;59.2;39.3;46.7;100;57.7;20;100;59.5;55.4;52.4;54.7;58.5;0;52.2;37.5;55.8;100;33.3;45.2;41.2;53.8;58.1;100;51.1;100;42.5
d1qq2a_;35;38.1;50.6;54.4;8.7;20.3;100;31.2;16.7;0;32.7;53.8;22.2;57.9;38.6;100;58;58.4;58.6;52.6;48.2;20;59.8;36.4;100;56.8;100;44.4;100;32;100;100;63.6;54.2;100;100;40;30
d1z6ma1;33.3;23.1;100;22.2;100;100;100;100;44.4;100;45.4;36.6;100;100;28.6;100;100;100;100;0;36.8;44.8;37.5;53.8;100;38.1;100;33.3;16.7;42.9;100;100;48.3;100;51.1;12.5;35.1;45
d1xzoa1;100;100;0;100;57.1;41.7;46.2;21.4;100;42.9;64.4;52.4;55;61.3;11.1;100;100;51.8;44.4;59.3;45;0;100;53.1;100;25;33.3;100;100;0;33.3;42.9;22.2;36.4;40.7;45.4;100;58.3
d2h01a1;41.6;50;53.1;30;28.8;34.7;100;14.3;16.7;27.9;27.4;100;31.9;52.9;43.2;61;55.6;100;42.9;50;100;30;30;53.7;38.5;36.4;50;100;14.3;100;100;100;100;100;100;56.6;100;100
d1zofa1;33.3;100;51.6;36.4;30.2;35.8;59;47.4;46.4;32.7;0;16.7;34.8;50;47.1;100;100;52.2;100;55.4;56.5;11.1;60.6;61.8;100;43.8;53.3;37.5;100;38.9;23.1;100;100;100;100;42.9;100;100
d2bmxa1;44.4;100;49.6;53.8;44;42.5;100;25;16.7;41.7;35.8;100;37.7;59.8;46.3;25;100;59;56.4;49.5;50;20;100;47.4;100;38.1;100;100;100;53.3;54.2;18.2;100;100;10;100;100;25
d1v58a1;31.2;42.9;52;100;45.2;47.1;16.7;51.8;54.3;53.8;16.7;0;40;50;64.6;100;100;100;54.4;100;59.5;45.8;100;25;28.6;30;57.8;37.5;43.8;47.6;50;100;100;100;41.2;100;40;35
d2b7ka1;45;100;27.3;53.3;50;28.6;55.6;48;45.4;36.4;33.3;54.6;38.1;100;43.1;100;100;44.4;37.5;22.2;41.7;0;30;42.9;100;100;100;30.8;55.6;56.1;37.5;33.3;33.3;12.5;54.6;100;41.7;55
d1e2ya_;40.2;18.2;48.4;60;22.8;14.4;16.7;14.3;16.7;22.2;34.8;40;0;59.5;44.2;46.7;56.5;51.4;61.1;41.2;100;20;64.2;33.3;42.1;39.4;100;100;100;33.3;100;16.7;25;100;30;100;100;100
d1we0a1;45;56.2;50.6;33.3;44;48.1;100;12.5;16.7;43.4;43.4;54.6;43.9;46.2;19.9;60.3;56.4;52.6;100;50.8;44.4;38.5;9.1;55.9;100;25;0;33.3;54.3;57.4;46.2;100;14.3;41.7;46.7;42.9;100;37.5
d1xvqa_;51.8;28.6;33.3;22.2;60.6;60.9;12.5;100;100;57.9;50;50;59.5;0;64.4;33.1;41.7;55.2;61.5;53.8;12.5;37.5;59.7;63.3;26.7;61.3;100;100;100;100;100;20;62.5;100;100;46.7;100;100
d1z6na1;30;100;30;100;100;28.6;42.9;100;33.3;100;100;47.4;100;100;35.7;33.3;33.3;100;100;28.6;20;50;50;16.7;100;0;57.3;55.3;46.2;48.2;28.6;100;27.3;100;43.5;28.6;100;46.2
d1yexa1;46.6;100;55.9;22.2;41.2;41.2;100;25;55.1;38.6;47.1;64.6;44.2;64.4;0;12.5;64.4;54;25;52.4;55.6;25;18.2;59.3;100;28.6;54.2;50;37.5;100;50;52.4;28.6;41.7;40;14.3;38.7;22.2
d1q98a_;41.2;100;44.4;37.5;55.8;59.8;100;100;100;53.8;25;100;55.4;35.2;65.3;26.5;37.2;100;66.7;59.2;61.1;100;25;100;100;100;100;100;14.3;100;100;100;100;100;100;100;100;100
d1qxha_;100;100;100;100;60.2;58.5;100;100;45.4;100;100;100;46.7;33.1;12.5;0;35.9;58.1;100;57.2;22.2;50;100;50;100;52;100;100;100;100;100;100;57.7;64.7;14.3;50;100;100
d1nm3a2;57;0;57.4;53.3;55.2;100;100;16.7;100;56.6;44.4;56.5;100;33.3;61.5;100;52.4;45.9;16.7;64;54.8;62.7;50;100;47.1;100;0;53.8;41.7;33.3;100;100;100;100;0;50;100;100
d1psqa_;56.1;100;100;16.7;58.4;100;55.6;100;100;58;100;100;56.5;41.7;64.4;35.9;0;50;100;55;100;100;28.6;28.6;100;30.8;40;100;100;100;37.5;16.7;100;46.4;37.5;37.5;64.3;60.9
d1tp9a1;53.9;42.9;51.8;43.8;28.6;52.7;63;50;40;51.8;100;100;63.4;16.7;58.6;54.7;52.7;42.1;47.7;61.3;100;100;28.6;46.2;100;47.2;50;33.3;56.1;42.9;100;63.2;100;62.2;0;50;100;100
d1hd2a_;54.8;50;63.2;100;54.1;55.1;30.8;55.6;60;58.4;52.2;100;51.4;55.2;54;58.1;50;0;45.4;58.7;100;100;61;73.7;54.2;14.3;100;100;100;100;100;100;100;57.1;33.3;100;56.5;100
d2cx4a1;52.2;12.5;36.4;100;53.5;52;41.7;30;53.5;52.2;52;60;50.3;53.3;50.4;54.7;50.6;53.9;48.6;47;66.4;100;100;55.4;50;100;100;33.3;37.5;100;56.2;100;50;100;100;100;30;41.7
d1wp0a1;37.5;21.4;45;55.6;37.5;46.7;16.7;0;100;41.7;16.7;100;57;33.3;44.4;22.2;36.8;100;100;42.9;14.3;100;100;33.3;12.5;0;100;45.4;100;58.5;52.8;36.4;30;100;100;100;100;100
d1zyea1;39.4;100;52.2;100;17.2;22.4;25;12.5;16.7;17.3;33.8;60;23.7;55.3;41.2;52.5;53.1;22.2;61.8;47;54.6;0;29.4;48;22.2;59.1;100;48.7;100;37.9;100;25;100;45.8;20;100;100;25
d2a4va1;55.6;100;100;20;57.6;60.2;100;61.4;100;58.6;100;54.4;61.1;61.5;25;100;100;45.4;0;50;100;33.3;100;55.6;100;100;100;100;37.5;100;100;33.3;100;100;100;100;100;55.6
d1eeja1;40;33.3;47.6;22.2;100;16.7;100;100;33.3;100;33.3;33.3;100;100;28.6;60.6;100;100;0;41.7;40;55.4;43.8;100;54.2;100;100;100;44.8;50;63.9;42.3;43.8;65.7;41.7;57.6;45;52.2
